地震の発生日,地震の発生時刻,震央地名,緯度,経度,深さ,Ｍ,最大震度
2023/09/15,22:42:21.1,トカラ列島近海,29°19.3′N,129°24.0′E,20 km,2.6,震度１
2023/09/15,21:26:01.6,トカラ列島近海,29°20.0′N,129°18.1′E,24 km,2.5,震度１
2023/09/15,16:42:24.3,トカラ列島近海,29°18.7′N,129°23.6′E,12 km,2.9,震度１
2023/09/15,15:08:57.3,トカラ列島近海,29°19.0′N,129°14.9′E,27 km,2.4,震度１
2023/09/14,09:11:24.7,トカラ列島近海,29°17.6′N,129°22.3′E,18 km,3.2,震度１
2023/09/13,12:24:36.2,トカラ列島近海,29°56.5′N,130°01.6′E,9 km,2.4,震度１
2023/09/13,12:15:41.7,トカラ列島近海,29°56.7′N,130°01.5′E,8 km,2.5,震度１
2023/09/12,15:22:28.3,トカラ列島近海,29°19.4′N,129°23.6′E,17 km,2.9,震度２
2023/09/12,05:46:44.0,トカラ列島近海,29°20.8′N,129°13.5′E,20 km,2.1,震度１
2023/09/12,02:16:21.0,トカラ列島近海,29°19.4′N,129°22.3′E,19 km,3.2,震度２
2023/09/12,01:50:20.7,トカラ列島近海,29°19.8′N,129°20.6′E,16 km,2.5,震度１
2023/09/12,01:48:39.3,トカラ列島近海,29°19.7′N,129°21.1′E,15 km,3.2,震度２
2023/09/12,01:46:12.1,トカラ列島近海,29°19.3′N,129°20.9′E,19 km,4.6,震度３
2023/09/11,22:03:23.7,トカラ列島近海,29°21.0′N,129°13.0′E,27 km,2.3,震度１
2023/09/11,15:57:09.0,トカラ列島近海,29°19.6′N,129°22.7′E,20 km,2.4,震度１
2023/09/11,11:05:05.6,トカラ列島近海,29°17.9′N,129°22.6′E,20 km,2.7,震度１
2023/09/11,10:23:58.7,トカラ列島近海,29°18.1′N,129°22.6′E,17 km,2.9,震度１
2023/09/11,10:10:34.9,トカラ列島近海,29°19.6′N,129°13.7′E,25 km,2.7,震度１
2023/09/11,07:57:56.1,トカラ列島近海,29°19.4′N,129°21.3′E,21 km,4.0,震度２
2023/09/11,07:53:15.4,トカラ列島近海,29°18.2′N,129°22.6′E,19 km,2.7,震度１
2023/09/11,03:49:39.7,トカラ列島近海,29°19.5′N,129°22.4′E,18 km,3.1,震度１
2023/09/11,03:46:54.4,トカラ列島近海,29°19.4′N,129°14.8′E,25 km,2.6,震度１
2023/09/11,02:39:23.9,トカラ列島近海,29°19.0′N,129°21.1′E,18 km,2.5,震度１
2023/09/11,01:01:53.3,トカラ列島近海,29°15.6′N,129°13.6′E,18 km,2.2,震度１
2023/09/11,00:57:23.5,トカラ列島近海,29°14.6′N,129°13.4′E,19 km,2.4,震度１
2023/09/11,00:44:15.6,トカラ列島近海,29°17.6′N,129°19.2′E,22 km,2.5,震度１
2023/09/11,00:36:55.5,トカラ列島近海,29°19.5′N,129°24.8′E,17 km,3.1,震度２
2023/09/11,00:01:59.7,トカラ列島近海,29°18.7′N,129°23.3′E,18 km,5.3,震度４
2023/09/10,18:22:28.2,トカラ列島近海,29°17.5′N,129°19.4′E,19 km,3.4,震度２
2023/09/10,17:09:44.0,トカラ列島近海,29°18.2′N,129°23.9′E,18 km,2.6,震度１
2023/09/10,16:35:24.9,トカラ列島近海,29°18.8′N,129°15.2′E,23 km,3.1,震度２
2023/09/10,16:33:08.7,トカラ列島近海,29°14.9′N,129°20.6′E,20 km,2.4,震度１
2023/09/10,16:25:09.5,トカラ列島近海,29°17.7′N,129°22.6′E,16 km,2.8,震度１
2023/09/10,16:07:44.9,トカラ列島近海,29°18.2′N,129°21.0′E,19 km,2.7,震度１
2023/09/10,16:04:51.6,トカラ列島近海,29°16.4′N,129°22.4′E,15 km,2.6,震度１
2023/09/10,15:54:49.3,トカラ列島近海,29°18.9′N,129°20.2′E,18 km,2.3,震度１
2023/09/10,15:51:02.2,トカラ列島近海,29°18.7′N,129°18.1′E,22 km,2.8,震度１
