地震の発生日時,震央地名,深さ,マグニチュード,震度
2025-06-28 23:31:00,トカラ列島近海,20,3.1,震度１
2025-06-28 22:13:00,トカラ列島近海,20,2.3,震度１
2025-06-28 19:23:00,トカラ列島近海,20,2.5,震度１
2025-06-28 19:09:00,トカラ列島近海,20,2.8,震度１
2025-06-28 18:58:00,トカラ列島近海,20,3.1,震度２
2025-06-28 18:51:00,トカラ列島近海,20,2.9,震度１
2025-06-28 18:43:00,トカラ列島近海,20,2.8,震度１
2025-06-28 16:43:00,新島・神津島近海,10,1.9,震度１
2025-06-28 15:11:00,愛知県西部,40,3.0,震度１
2025-06-28 15:11:00,トカラ列島近海,20,2.9,震度１
2025-06-28 14:45:00,トカラ列島近海,20,2.9,震度１
2025-06-28 14:27:00,トカラ列島近海,20,3.0,震度１
2025-06-28 13:54:00,トカラ列島近海,20,4.4,震度２
2025-06-28 13:52:00,トカラ列島近海,20,3.3,震度２
2025-06-28 13:00:00,トカラ列島近海,20,3.4,震度１
2025-06-28 11:54:00,トカラ列島近海,20,2.7,震度１
2025-06-28 11:51:00,トカラ列島近海,20,2.2,震度１
2025-06-28 11:43:00,トカラ列島近海,20,2.5,震度１
2025-06-28 11:12:00,トカラ列島近海,20,4.4,震度３
2025-06-28 10:47:00,トカラ列島近海,20,3.0,震度１
2025-06-28 10:31:00,トカラ列島近海,20,2.8,震度１
2025-06-28 10:20:00,トカラ列島近海,20,3.1,震度２
2025-06-28 10:18:00,トカラ列島近海,20,2.9,震度１
2025-06-28 09:55:00,トカラ列島近海,20,2.8,震度１
2025-06-28 09:53:00,トカラ列島近海,20,2.9,震度１
2025-06-28 09:43:00,トカラ列島近海,20,2.8,震度１
2025-06-28 09:31:00,トカラ列島近海,20,2.6,震度１
2025-06-28 09:29:00,トカラ列島近海,20,2.6,震度１
2025-06-28 09:22:00,トカラ列島近海,20,2.7,震度１
2025-06-28 09:15:00,トカラ列島近海,20,4.3,震度３
2025-06-28 09:07:00,トカラ列島近海,20,3.0,震度１
2025-06-28 09:04:00,トカラ列島近海,20,2.5,震度１
2025-06-28 09:01:00,トカラ列島近海,20,2.6,震度１
2025-06-28 08:55:00,トカラ列島近海,20,3.0,震度１
2025-06-28 06:57:00,石川県能登地方,10,3.0,震度１
2025-06-28 02:38:00,トカラ列島近海,20,2.6,震度１
2025-06-28 02:01:00,トカラ列島近海,20,2.6,震度１
2025-06-27 22:52:00,トカラ列島近海,20,4.0,震度２
2025-06-27 22:16:00,トカラ列島近海,20,2.7,震度１
2025-06-27 20:25:00,群馬県北部,10,3.1,震度２
2025-06-27 19:58:00,トカラ列島近海,20,2.7,震度１
2025-06-27 19:47:00,トカラ列島近海,10,2.9,震度１
2025-06-27 18:44:00,釧路沖,30,4.1,震度２
2025-06-27 15:00:00,トカラ列島近海,20,2.4,震度１
2025-06-27 13:59:00,トカラ列島近海,20,2.5,震度１
2025-06-27 13:20:00,トカラ列島近海,10,2.6,震度１
2025-06-27 13:17:00,トカラ列島近海,20,4.8,震度３
2025-06-27 12:38:00,トカラ列島近海,30,3.1,震度１
2025-06-27 11:31:00,トカラ列島近海,20,2.7,震度１
2025-06-27 09:04:00,トカラ列島近海,10,3.1,震度１
2025-06-27 08:56:00,茨城県北部,60,4.4,震度３
2025-06-27 08:15:00,トカラ列島近海,20,2.7,震度１
